300,18.09.2026-13:02:21,18.09.2026,something
7,18.09.2026-20:01:57,18.09.2026,games
33,18.09.2026-20:02:05,18.09.2026,games
33,18.09.2026-20:08:21,18.09.2026,grocery
42,18.09.2026-20:08:24,18.09.2026,grocery
667,18.09.2026-20:22:10,18.09.2026,bingus
1,18.09.2026-20:25:08,18.09.2026,games
2,18.09.2026-20:25:11,18.09.2026,misc.
3,18.09.2026-20:25:18,18.09.2026,something
4,18.09.2026-20:25:28,18.09.2026,bingus
5,18.09.2026-20:25:50,18.09.2026,loco chicken
6,18.09.2026-20:25:57,18.09.2026,loco chicken
2,18.09.2026-20:28:54,18.09.2026,something
12,18.09.2026-20:30:54,18.09.2026,something
34,18.09.2026-20:31:08,18.09.2026,bingus
7,18.09.2026-20:33:51,18.09.2026,loco chicken
8,18.09.2026-20:33:56,18.09.2026,misc.
